Bagel Street Cafe, Kungsgatan 42, 11156, Stockholm
Café Cups, Fleminggatan 18, 11226, Stockholm
Dagobert restaurang, Roslagsgatan 7, 113 55, Stockholm
Falafel Kungen, Sveavägen 71, 11350, Stockholm
G&E Pizzeria / Vasa La grande, Dalagatan 32, 11324, Stockholm
Göran Terrassen, Sankt Göransplan 1, 11219, Stockholm
Il Piccio Ristorante, Fridhemsgatan 3, 11240, Stockholm
Kebab Kungen, Odengatan 54, 11322, Stockholm
Mam Restaurang, Hagagatan 44, 11347, Stockholm
Nybergs Konditori, Upplandsgatan 26, 11326, Stockholm
O´Mamma Mia, Kungstensgatan 60, 11329, Stockholm
Restaurang Aroti, Wallingatan 40, 11124, Stockholm
Sterix, Polhemsgatan 50, 11230, Stockholm
Subway Hötorget, Subway Hötorget T-bana, 11156, Stockholm
Subway Karlbergsvägen, Karlbergsvägen 16, 11327, Stockholm
Subway Sankt Eriksplan, Sankt Eriksplan 17, 11320, Stockholm
Subway Sveavägen/Olofsgatan, Sveavägen 33, 11134, Stockholm
Subway, Odengatan 49, 11351, Stockholm
Sushirullen Odenplan, Norrtullsgatan 10, 11327, Stockholm
Taco Bar Sveavägen, Sveavägen 108, 11350, Stockholm
TacoBar, Sankt Eriksplan 5, 11320, Stockholm
Valkyria, Crafoordsv 12, 11324, Stockholm
